Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Productive_Hours,Is_Overworked,Free_Time,Study_Productive_Ratio
9.5,2.5,9.0,1.5,1.5,3.49,2,13.5,0,0.0,0.7037036515775074
7.9,2.0,6.0,4.3,3.8,2.97,1,13.7,0,0.0,0.576642293675745
9.7,3.8,9.6,0.3,0.6,3.55,2,14.099999999999998,0,0.0,0.6879432136210488
5.1,3.7,7.1,5.8,2.3,2.6,0,11.1,1,0.0,0.4594594180667191
9.3,1.3,5.8,3.3,4.3,3.09,2,14.900000000000002,1,0.0,0.6241610319355012
9.7,2.8,7.9,0.3,3.3,3.47,2,15.8,1,0.0,0.6139240117769612
9.4,3.0,8.5,2.2,0.9,3.18,2,13.3,0,0.0,0.7067668641528674
6.8,1.2,9.0,4.9,2.1,3.12,1,10.1,0,0.0,0.6732672600725486
9.0,2.6,8.5,3.1,0.8,4.0,2,12.4,0,0.0,0.7258063930801296
9.5,1.4,6.9,0.6,5.6,3.33,2,16.5,0,0.0,0.5757575408631793
7.3,2.2,6.4,3.5,4.6,3.11,1,14.099999999999998,0,0.0,0.5177304597354285
5.2,0.1,9.1,2.2,7.4,2.79,0,12.700000000000001,0,3.552713678800501e-15,0.40944878665757584
8.8,0.9,8.1,0.5,5.7,3.1,2,15.4,0,0.0,0.5714285343228225
5.3,2.1,7.7,3.8,5.1,2.39,0,12.499999999999998,0,0.0,0.4239999660800028
9.0,1.1,7.2,0.5,6.2,3.39,2,16.3,0,0.0,0.5521472053897419
5.1,3.9,9.2,4.0,1.8,2.52,0,10.799999999999999,0,0.0,0.47222217849794645
5.8,1.0,7.7,4.3,5.2,2.8,0,12.0,0,0.0,0.48333329305555894
8.3,1.1,9.8,3.5,1.3,3.67,2,10.700000000000001,0,0.0,0.7757008620840317
7.1,1.0,6.8,4.5,4.6,3.27,1,12.7,0,0.0,0.5590550740901516
5.1,0.5,5.2,0.2,13.0,2.85,2,18.6,0,0.0,0.2741935336455089
7.4,0.4,7.5,2.8,5.9,3.26,1,13.700000000000001,1,0.0,0.5401459459747485
5.9,1.7,7.0,3.7,5.7,2.8,0,13.3,0,0.0,0.44360898920233166
6.9,2.5,7.5,5.1,2.0,3.06,1,11.4,0,0.0,0.605263104801482
8.3,0.7,5.4,3.9,5.7,3.26,2,14.7,0,0.0,0.564625811930217
9.7,2.3,6.9,3.3,1.8,3.38,2,13.8,1,0.0,0.7028984997899638
7.3,2.2,9.7,1.9,2.9,3.15,1,12.399999999999999,0,0.0,0.5887096299427719
5.4,1.3,9.2,0.1,8.0,2.69,0,14.700000000000001,0,0.0,0.36734691378592427
9.1,1.1,5.6,4.2,4.0,3.54,2,14.2,0,3.552713678800501e-15,0.6408450252926039
8.7,3.2,6.4,1.0,4.7,3.37,2,16.599999999999998,0,0.0,0.5240963539700991
8.8,3.2,10.0,0.8,1.2,3.58,2,13.2,0,0.0,0.6666666161616202
6.7,3.7,9.3,1.8,2.5,2.89,1,12.899999999999999,1,0.0,0.51937980469924
8.8,3.0,5.5,5.4,1.3,3.58,2,13.100000000000001,0,0.0,0.6717556739117806
6.6,3.6,6.9,0.1,6.8,2.99,1,17.0,0,0.0,0.3882352712802781
9.5,0.4,6.6,5.7,1.8,3.44,2,11.700000000000001,0,0.0,0.8119657425670306
8.2,1.8,6.5,2.0,5.5,3.35,2,15.5,0,0.0,0.5290322239334049
8.4,3.0,9.0,2.8,0.8,3.26,2,12.200000000000001,1,0.0,0.6885245337274972
5.3,2.2,7.2,5.3,4.0,2.62,0,11.5,0,0.0,0.4608695251417804
6.8,0.5,5.7,4.6,6.4,2.86,2,13.7,0,0.0,0.49635032873355267
5.4,2.8,5.4,4.9,5.5,2.86,2,13.7,0,0.0,0.3941605551707625
8.5,0.3,5.4,5.9,3.9,2.99,2,12.700000000000001,0,0.0,0.6692912858825759
9.1,3.8,9.9,0.9,0.3,3.08,2,13.2,0,0.0,0.6893938871671298
6.9,0.3,8.9,3.4,4.5,3.21,1,11.700000000000001,0,0.0,0.589743539338159
5.6,2.0,5.1,2.8,8.5,2.81,2,16.1,1,0.0,0.3478260653524182
5.3,0.5,5.6,3.9,8.7,2.9,2,14.5,0,0.0,0.36551721617122646
9.8,1.5,6.4,5.2,1.1,3.78,2,12.4,0,0.0,0.7903225169094745
6.1,3.9,5.1,5.8,3.1,2.96,2,13.1,0,0.0,0.4656488194161207
5.4,2.2,9.8,3.1,3.5,2.81,0,11.100000000000001,1,0.0,0.486486442658879
8.1,2.8,7.3,3.6,2.2,3.39,2,13.100000000000001,0,0.0,0.6183205634869798
5.2,1.1,9.8,5.3,2.6,2.82,0,8.9,1,0.0,0.584269597273079
7.3,2.5,6.4,1.1,6.7,2.67,1,16.5,0,0.0,0.44242421561065354
7.9,0.3,9.9,5.8,0.1,3.08,1,8.3,1,0.0,0.9518071142401068
8.5,2.1,6.5,4.9,2.0,3.1,2,12.6,0,0.0,0.6746031210632444
9.6,3.3,9.7,1.0,0.4,3.54,2,13.3,0,0.0,0.7218044570071837
8.1,1.7,9.7,3.9,0.6,3.45,2,10.399999999999999,0,3.552713678800501e-15,0.7788460789571079
9.9,0.6,8.0,2.1,3.4,3.39,2,13.9,0,0.0,0.712230164587758
9.8,3.4,9.2,0.7,0.9,3.15,2,14.100000000000001,0,0.0,0.6950354116996162
5.3,3.5,9.1,6.0,0.1,2.68,0,8.899999999999999,0,0.0,0.5955055510667921
10.0,2.2,8.8,2.8,0.2,3.41,2,12.399999999999999,0,0.0,0.8064515478668108
7.3,0.5,9.8,3.6,2.8,3.22,1,10.6,0,0.0,0.6886791803132849
6.1,2.7,8.1,2.1,5.0,2.98,1,13.8,0,0.0,0.4420289534761628
7.6,3.1,7.6,4.9,0.8,2.99,1,11.5,0,0.0,0.6608695077504776
7.8,2.2,9.4,1.9,2.7,3.3,1,12.7,0,0.0,0.6141731799863638
8.5,0.9,5.7,0.1,8.8,3.55,2,18.2,1,0.0,0.4670329413718164
6.8,2.4,7.0,2.6,5.2,2.97,1,14.4,0,0.0,0.4722221894290146
7.6,3.1,7.0,3.7,2.6,3.28,1,13.299999999999999,0,3.552713678800501e-15,0.5714285284640205
9.3,3.8,5.7,4.8,0.4,3.05,2,13.5,1,0.0,0.6888888378600861
7.3,3.9,7.5,1.7,3.6,3.08,1,14.8,0,3.552713678800501e-15,0.4932432099159993
8.2,1.0,5.4,0.8,8.6,3.3,2,17.799999999999997,0,3.552713678800501e-15,0.4606741314228016
5.9,1.4,9.5,2.8,4.4,2.7,0,11.700000000000001,1,0.0,0.5042734611732085
8.3,0.7,6.0,0.2,8.8,3.14,2,17.8,0,0.0,0.4662921086352748
5.9,0.4,5.6,2.8,9.3,2.73,2,15.600000000000001,1,0.0,0.37820510396121126
6.0,1.5,7.5,4.1,4.9,2.76,1,12.4,0,0.0,0.4838709287200864
9.4,3.7,5.3,1.6,4.0,3.45,2,17.1,1,0.0,0.5497075701925397
9.0,3.0,5.9,1.3,4.8,3.29,2,16.8,1,0.0,0.5357142538265325
8.1,1.5,7.3,4.5,2.6,2.75,2,12.2,0,0.0,0.6639343718086581
5.2,1.0,8.6,5.4,3.8,3.4,0,10.0,0,0.0,0.5199999480000053
5.5,1.8,7.7,1.5,7.5,3.05,0,14.8,0,0.0,0.3716215965120543
6.3,1.5,5.1,1.9,9.2,2.82,2,17.0,0,0.0,0.3705882134948109
5.6,3.6,8.0,4.1,2.7,2.62,0,11.9,0,0.0,0.4705881957488911
8.9,2.0,5.4,3.2,4.5,3.64,2,15.4,0,0.0,0.5779220403946728
7.2,0.5,6.4,2.2,7.7,3.19,1,15.4,0,0.0,0.4675324371732184
8.2,2.3,6.8,5.9,0.8,2.95,2,11.3,0,0.0,0.7256636525961369
5.5,0.6,6.2,1.0,10.7,2.94,0,16.8,0,3.552713678800501e-15,0.32738093289399206
5.9,1.1,5.9,5.4,5.7,2.89,2,12.700000000000001,0,0.0,0.464566892553788
7.1,3.9,5.6,2.4,5.0,2.9,2,16.0,0,0.0,0.4437499722656267
9.8,3.5,9.1,0.4,1.2,3.57,2,14.5,0,0.0,0.6758620223543433
9.6,2.2,7.9,1.2,3.1,3.24,2,14.899999999999999,0,0.0,0.6442952587721303
8.8,0.7,6.6,2.6,5.3,2.99,2,14.8,0,0.0,0.5945945544192869
5.6,2.4,6.4,3.5,6.1,2.85,0,14.1,0,0.0,0.3971630923997807
5.8,1.9,7.7,0.3,8.3,2.7,0,16.0,0,0.0,0.3624999773437514
5.3,4.0,6.6,4.9,3.2,2.72,0,12.5,0,0.0,0.42399996608000273
6.3,2.7,8.8,3.6,2.6,2.45,1,11.600000000000001,0,0.0,0.5431034014566033
6.7,3.7,9.2,4.2,0.2,2.85,1,10.600000000000001,0,3.552713678800501e-15,0.6320754120683574
5.6,2.9,9.7,1.1,4.7,2.86,0,13.200000000000001,0,0.0,0.42424239210284903
7.9,3.4,5.7,4.8,2.2,3.15,2,13.500000000000002,0,0.0,0.5851851418381376
6.0,0.7,5.8,4.9,6.6,2.96,2,13.299999999999999,0,0.0,0.45112778562948985
6.8,3.5,7.0,4.9,1.8,3.44,1,12.1,0,0.0,0.561983424629469
7.2,1.5,7.3,1.8,6.2,3.08,1,14.9,0,0.0,0.48322144407909773
6.2,3.6,6.9,3.3,4.0,3.27,1,13.799999999999999,1,0.0,0.4492753297626573
9.5,2.5,5.6,5.6,0.8,3.13,2,12.8,0,0.0,0.7421874420166061
5.7,3.2,8.1,3.2,3.8,3.08,0,12.7,0,3.552713678800501e-15,0.44881886229772744
9.5,3.2,5.8,1.7,3.8,3.59,2,16.5,0,0.0,0.5757575408631793
5.2,2.3,8.8,5.3,2.4,2.61,0,9.899999999999999,1,0.0,0.5252524721967201
6.7,3.3,5.6,5.1,3.3,2.95,2,13.3,0,0.0,0.5037593606195969
9.0,0.6,6.1,4.3,4.0,3.15,2,13.6,0,0.0,0.661764657223187
8.6,2.6,8.5,2.3,2.0,3.14,2,13.2,0,0.0,0.6515151021579468
5.9,3.6,7.9,2.4,4.2,2.64,0,13.700000000000001,0,0.0,0.43065690287175895
7.3,3.8,5.8,3.5,3.6,3.58,2,14.7,0,0.0,0.4965986056735643
5.1,3.5,9.7,3.2,2.5,2.79,0,11.1,0,3.552713678800501e-15,0.4594594180667191
8.5,3.7,8.5,0.5,2.8,3.65,2,15.0,0,0.0,0.5666666288888914
7.1,2.9,9.7,4.0,0.3,3.33,1,10.299999999999999,0,0.0,0.6893203214252116
7.3,0.5,9.9,5.0,1.3,3.11,1,9.1,0,0.0,0.8021977140442074
8.0,1.6,5.3,2.0,7.1,3.42,2,16.7,0,0.0,0.4790418874825217
9.0,0.0,6.7,2.4,5.9,3.51,2,14.9,0,0.0,0.6040268050988722
6.7,1.4,8.7,2.7,4.5,3.02,1,12.6,0,3.552713678800501e-15,0.5317459895439691
6.1,1.8,5.7,1.1,9.3,2.38,2,17.2,0,0.0,0.3546511421714452
9.6,1.4,7.9,3.2,1.9,3.43,2,12.9,0,0.0,0.7441859888227915
5.1,2.7,5.9,5.8,4.5,2.71,2,12.3,1,0.0,0.41463411263137295
5.4,4.0,7.5,3.6,3.5,2.59,0,12.9,0,0.0,0.4186046187128203
5.3,3.0,6.0,5.4,4.3,2.68,0,12.6,0,0.0,0.42063488725119946
5.2,1.9,7.8,0.4,8.7,2.67,0,15.799999999999999,0,3.552713678800501e-15,0.3291139032206391
8.9,1.8,7.6,2.5,3.2,3.58,2,13.900000000000002,0,0.0,0.6402877237203076
5.8,0.7,9.3,5.7,2.5,2.46,0,9.0,0,0.0,0.6444443728395142
6.9,1.1,8.2,2.5,5.3,3.22,1,13.299999999999999,0,0.0,0.5187969534739134
5.1,0.9,6.2,4.0,7.8,3.02,0,13.799999999999999,0,0.0,0.3695651906112181
5.1,0.4,9.0,1.1,8.4,2.52,0,13.9,0,0.0,0.3669064484239965
5.5,1.0,8.6,5.1,3.8,2.97,0,10.3,0,0.0,0.5339805306815019
9.2,1.6,8.3,1.0,3.9,3.5,2,14.7,0,0.0,0.6258502975612042
5.1,0.3,6.0,0.2,12.4,2.7,0,17.8,0,0.0,0.28651683783613263
5.9,2.3,7.1,5.4,3.3,2.78,0,11.5,0,0.0,0.5130434336483971
6.3,1.5,8.0,1.6,6.6,3.15,1,14.399999999999999,0,0.0,0.4374999696180577
8.1,1.6,7.8,2.6,3.9,3.26,2,13.6,0,0.0,0.5955881915008683
8.8,0.6,9.3,2.6,2.7,3.3,2,12.1,1,0.0,0.7272726671675483
9.5,3.2,7.1,0.1,4.1,3.49,2,16.8,0,0.0,0.5654761568168953
8.2,1.0,5.7,5.0,4.1,2.89,2,13.299999999999999,0,0.0,0.6165413070269694
9.9,2.1,5.9,1.6,4.5,3.52,2,16.5,0,0.0,0.5999999636363659
6.4,2.2,8.3,5.0,2.1,2.76,1,10.7,0,0.0,0.598130785221422
6.0,0.0,5.7,5.4,6.9,2.95,2,12.9,0,0.0,0.46511624301424476
8.0,2.7,5.9,5.5,1.9,3.4,2,12.600000000000001,0,0.0,0.6349205845301124
7.1,1.5,7.6,0.3,7.5,3.17,1,16.1,1,0.0,0.44099376142895885
5.4,2.4,6.2,2.3,7.7,2.66,0,15.500000000000002,0,0.0,0.3483870742976081
6.4,1.4,8.6,1.8,5.8,2.77,1,13.6,1,0.0,0.47058820069204416
8.3,3.7,8.7,0.7,2.6,3.77,2,14.600000000000001,0,3.552713678800501e-15,0.5684931117470472
5.2,1.0,8.0,0.3,9.5,3.29,0,15.7,0,0.0,0.3312101699866134
6.7,3.1,5.5,0.5,8.2,2.99,2,18.0,0,0.0,0.372222201543211
8.6,2.0,8.4,2.2,2.8,3.43,2,13.399999999999999,0,3.552713678800501e-15,0.641790996881269
9.0,2.8,6.4,3.4,2.4,3.24,2,14.2,0,0.0,0.6338027722674104
6.8,0.4,9.6,0.8,6.4,3.01,1,13.6,1,0.0,0.49999996323529683
5.9,2.2,9.4,4.4,2.1,3.01,0,10.2,0,0.0,0.5784313158400672
9.0,2.6,8.5,3.3,0.6,3.34,2,12.2,0,0.0,0.7377048575651757
6.1,4.0,9.7,0.2,4.0,2.58,1,14.1,0,3.552713678800501e-15,0.43262408279261827
8.5,3.7,5.9,3.4,2.5,3.06,2,14.7,0,0.0,0.5782312531815474
9.6,3.9,9.7,0.4,0.4,3.65,2,13.9,0,0.0,0.6906474323275229
9.3,3.4,6.6,3.9,0.8,3.41,2,13.500000000000002,0,0.0,0.688888837860086
6.2,0.5,5.4,4.2,7.7,2.84,2,14.4,0,0.0,0.4305555256558663
6.7,2.9,5.3,1.9,7.2,3.29,2,16.8,0,0.0,0.3988095000708631
6.6,2.5,9.4,3.4,2.1,3.03,1,11.2,0,0.0,0.5892856616709231
6.2,0.1,9.4,0.1,8.2,2.95,1,14.499999999999998,0,0.0,0.42758617740784993
9.7,3.2,10.0,0.4,0.7,3.67,2,13.599999999999998,0,3.552713678800501e-15,0.7132352416738794
8.8,1.6,7.4,3.8,2.4,3.23,2,12.8,1,0.0,0.6874999462890667
7.1,3.0,6.2,0.7,7.0,3.36,1,17.1,0,0.0,0.4152046540815991
6.8,1.1,6.5,1.4,8.2,3.01,1,16.1,0,0.0,0.4223602222136507
6.9,2.7,6.1,5.7,2.6,3.08,1,12.2,0,0.0,0.5655737241333014
8.9,0.4,7.1,5.3,2.3,3.33,2,11.6,1,0.0,0.7672413131688525
8.1,0.7,10.0,1.2,4.0,3.35,2,12.799999999999999,0,3.552713678800501e-15,0.6328124505615274
9.7,2.6,8.0,1.9,1.8,3.33,2,14.1,0,0.0,0.6879432136210487
6.1,0.7,8.9,2.1,6.2,2.81,1,13.0,0,0.0,0.4692307331360975
5.3,3.9,9.4,5.0,0.4,3.08,0,9.6,0,0.0,0.5520832758246588
8.5,0.6,9.1,1.3,4.5,3.16,2,13.6,0,0.0,0.6249999540441211
6.1,2.1,8.0,3.5,4.3,2.79,1,12.499999999999998,0,0.0,0.4879999609600032
9.4,3.8,9.3,1.2,0.3,3.33,2,13.5,0,0.0,0.6962962447187967
8.3,2.2,5.4,2.5,5.6,2.97,2,16.1,0,0.0,0.5155279182901914
8.6,2.0,5.4,1.3,6.7,3.14,2,17.3,1,0.0,0.49710979785492493
8.4,0.3,9.3,3.0,3.0,3.77,2,11.700000000000001,0,0.0,0.7179486565855849
9.1,1.4,8.4,2.9,2.2,3.26,2,12.700000000000001,0,0.0,0.7165353766507577
6.3,3.5,9.0,3.4,1.8,3.11,1,11.6,0,0.0,0.5431034014566034
8.5,2.7,8.1,3.5,1.2,3.38,2,12.399999999999999,0,0.0,0.6854838156867892
5.8,3.5,9.4,0.2,5.1,2.84,0,14.399999999999999,0,0.0,0.40277774980710074
6.7,3.0,5.8,4.9,3.6,3.03,2,13.3,0,0.0,0.5037593606195969
9.2,2.0,5.0,1.7,6.1,3.42,2,17.299999999999997,0,3.552713678800501e-15,0.531791876775036
8.2,1.0,8.2,3.2,3.4,3.24,2,12.6,0,3.552713678800501e-15,0.6507935991433651
8.9,0.4,8.8,3.2,2.7,3.32,2,12.000000000000002,0,0.0,0.7416666048611162
8.2,3.7,5.5,5.6,1.0,3.29,2,12.899999999999999,0,0.0,0.6356588654528011
8.4,0.3,6.5,4.2,4.6,3.29,2,13.3,0,0.0,0.6315788998812858
6.7,2.5,5.2,5.2,4.4,2.86,2,13.600000000000001,0,0.0,0.4926470225994836
9.9,3.9,8.7,0.2,1.3,3.8,2,15.100000000000001,0,0.0,0.6556290956537023
8.4,1.8,6.4,6.0,1.4,3.25,2,11.600000000000001,0,0.0,0.7241378686088045
7.1,1.8,5.8,4.8,4.5,2.86,2,13.4,0,0.0,0.5298507067275592
5.4,2.7,8.3,1.6,6.0,2.95,0,14.100000000000001,1,0.0,0.3829786962426457
9.8,0.6,7.2,5.7,0.7,3.84,2,11.1,0,0.0,0.8828828033438918
7.0,1.1,9.9,2.5,3.5,2.84,1,11.6,0,0.0,0.6034482238406704
9.5,0.9,6.1,0.2,7.3,3.17,2,17.7,0,3.552713678800501e-15,0.536723133518467
9.3,1.9,9.8,0.6,2.4,3.68,2,13.600000000000001,1,0.0,0.6838234791306266
9.3,3.1,8.9,2.3,0.4,3.52,2,12.8,1,0.0,0.7265624432373092
5.7,0.1,9.6,3.7,4.9,3.12,0,10.700000000000001,0,3.552713678800501e-15,0.532710230587829
9.0,1.9,5.6,0.8,6.7,3.21,2,17.599999999999998,1,0.0,0.511363607308886
6.0,2.0,5.3,3.5,7.2,3.26,2,15.2,0,0.0,0.3947368161357358
6.3,3.2,6.6,2.7,5.2,2.85,1,14.7,0,3.552713678800501e-15,0.42857139941691164
8.0,1.2,8.5,5.2,1.1,2.72,1,10.299999999999999,0,3.552713678800501e-15,0.7766989537185484
8.9,0.2,7.4,0.6,6.9,3.33,2,16.0,0,0.0,0.5562499652343772
8.1,2.8,7.8,0.1,5.2,2.98,2,16.1,0,0.0,0.5031055588133192
6.6,2.1,5.4,2.1,7.8,2.79,2,16.5,0,0.0,0.3999999757575772
7.8,2.8,9.0,0.9,3.5,3.11,1,14.100000000000001,0,0.0,0.5531914501282659
5.8,0.4,8.2,4.2,5.4,2.88,0,11.6,0,0.0,0.49999995689655546
8.5,3.5,8.6,2.7,0.7,3.15,2,12.7,0,3.552713678800501e-15,0.669291285882576
6.7,3.3,5.4,5.4,3.2,3.27,2,13.2,0,0.0,0.5075757191230517
7.3,2.6,7.6,4.4,2.1,3.13,1,12.0,0,0.0,0.6083332826388932
5.4,0.2,6.2,1.0,11.2,2.75,0,16.8,0,0.0,0.3214285522959195
9.9,1.3,5.9,4.7,2.2,3.57,2,13.400000000000002,1,0.0,0.7388059150144839
8.3,2.0,7.8,4.2,1.7,3.25,2,12.0,0,0.0,0.6916666090277827
6.0,2.7,5.4,0.2,9.7,2.92,2,18.4,0,3.552713678800501e-15,0.3260869387996229
6.3,1.9,9.3,4.4,2.1,2.85,1,10.3,0,0.0,0.6116504260533567
6.7,1.5,9.9,0.2,5.7,3.32,1,13.9,0,3.552713678800501e-15,0.48201435381191704
9.3,2.3,7.2,3.8,1.4,3.61,2,13.0,1,0.0,0.715384560355034
9.5,1.7,6.4,3.6,2.8,3.42,2,14.0,0,0.0,0.6785713801020443
9.6,0.8,8.1,3.5,2.0,3.31,2,12.4,0,0.0,0.7741934859521382
8.6,3.6,5.9,1.4,4.5,3.37,2,16.7,0,0.0,0.5149700290437108
9.9,0.7,9.3,2.0,2.1,3.59,2,12.7,0,0.0,0.7795274976750003
7.2,2.1,6.8,3.6,4.3,3.01,1,13.6,1,0.0,0.5294117257785497
5.8,1.6,9.8,1.5,5.3,2.61,0,12.7,0,0.0,0.4566928774257577
8.9,0.5,9.8,2.2,2.6,3.57,2,12.0,0,0.0,0.7416666048611164
6.2,0.3,5.8,3.1,8.6,3.13,2,15.100000000000001,0,0.0,0.41059599929827817
7.2,1.0,8.1,4.2,3.5,2.98,1,11.7,0,3.552713678800501e-15,0.6153845627876443
5.8,0.7,5.2,4.4,7.9,2.81,2,14.399999999999999,0,0.0,0.40277774980710074
9.2,3.2,7.9,3.2,0.5,3.8,2,12.899999999999999,0,3.552713678800501e-15,0.7131782392885087
6.0,0.4,6.3,0.3,11.0,3.05,1,17.4,0,0.0,0.34482756638922035
5.2,0.5,7.3,5.6,5.4,2.79,0,11.100000000000001,0,0.0,0.46846842626410573
6.6,2.0,5.2,0.9,9.3,3.17,2,17.9,0,3.552713678800501e-15,0.3687150632002758
7.3,2.1,7.4,4.0,3.2,3.16,1,12.6,0,0.0,0.5793650333837276
5.7,0.1,6.5,4.2,7.5,2.98,0,13.299999999999999,0,0.0,0.4285713963480154
9.8,0.4,8.4,2.4,3.0,3.26,2,13.200000000000001,0,0.0,0.742424186179986
9.3,0.7,8.5,4.6,0.9,3.43,2,10.9,0,0.0,0.8532109308980799
7.5,2.5,9.3,2.7,2.0,3.2,1,12.0,0,0.0,0.624999947916671
5.2,3.7,8.4,4.1,2.6,2.91,0,11.5,0,0.0,0.452173873724011
7.0,2.6,5.5,3.9,5.0,2.82,2,14.6,0,0.0,0.479452021955341
10.0,0.2,9.9,1.6,2.3,3.56,2,12.5,0,0.0,0.7999999360000052
7.8,3.0,9.4,1.5,2.3,3.25,1,13.1,0,0.0,0.595419801876351
6.6,2.7,9.0,4.3,1.4,2.93,1,10.7,1,0.0,0.6168223722595915
9.1,0.5,7.7,0.0,6.7,3.64,2,16.3,0,0.0,0.5582821743385168
6.6,1.5,7.0,4.2,4.7,2.79,1,12.8,0,0.0,0.5156249597168
6.2,1.5,6.1,0.4,9.8,2.5,1,17.5,0,0.0,0.3542856940408175
8.0,2.7,8.1,2.4,2.8,3.4,1,13.5,0,0.0,0.5925925486968483
7.6,1.9,5.1,2.0,7.4,3.08,2,16.9,0,0.0,0.44970411540212335
6.9,1.6,7.9,3.2,4.4,3.31,1,12.9,0,0.0,0.5348836794663815
9.1,2.9,9.8,0.0,2.2,3.48,2,14.200000000000001,0,0.0,0.6408450252926038
6.0,0.0,8.2,5.4,4.4,2.92,1,10.4,0,0.0,0.5769230214497095
5.3,3.7,6.8,0.6,7.6,2.78,0,16.599999999999998,1,0.0,0.31927708920017533
7.4,1.0,6.4,1.8,7.4,3.15,1,15.8,1,0.0,0.46835440073706325
6.6,2.4,8.6,1.6,4.8,3.27,1,13.799999999999999,0,0.0,0.4782608349086352
7.1,0.5,5.9,4.1,6.4,3.09,2,14.0,0,0.0,0.5071428209183699
